sno,sna,tot,sbi,sarea,mday,lat,lng,ar,bemp,act
71,捷運信義安和站(4號出口),30,11,大安區,2017-10-09T03:19:17Z,25.032985,121.554204,通化街/信義路四段(西南側),18,1
72,新生長安路口,42,23,中山區,2017-10-09T03:19:36Z,25.048611,121.529346,新生北路一段/長安東路二段交叉口(北側),18,1
73,酒泉延平路口,32,10,大同區,2017-10-09T03:19:40Z,25.072228,121.510195,延平北路四段/酒泉街(西北側),22,1
74,信義連雲街口,40,14,中正區,2017-10-09T03:19:35Z,25.033817,121.530547,信義路二段/連雲街(東北側),26,1
75,基隆光復路口,30,22,信義區,2017-10-09T03:19:35Z,25.0300508,121.557635,基隆路二段/光復南路(東北側),6,1
76,新生長春路口,36,14,中山區,2017-10-09T03:19:27Z,25.056387,121.527522,新生北路二段/新生北路二段68巷交叉口(新生橋下),22,1
77,民生活動中心,32,13,松山區,2017-10-09T03:19:27Z,25.059147,121.56297000000001,民生東路五段/三民路口(西北側),19,1
78,捷運圓山站(2號出口),52,31,大同區,2017-10-09T03:19:20Z,25.071824,121.519287,承德路三段/庫倫街(東南側),21,1
79,捷運民權西路站(3號出口),50,20,大同區,2017-10-09T03:19:42Z,25.061285,121.520205,民權西路70巷37號對面,29,1
80,華江高中,44,16,萬華區,2017-10-09T03:19:38Z,25.02751,121.495869,東園街/東園街35巷(東北側),28,1
81,捷運台電大樓站(2號出口),40,13,大安區,2017-10-09T03:19:20Z,25.020547,121.528552,羅斯福路/辛亥路交叉口(古亭國小前),21,1
82,捷運西門站(3號出口),60,0,中正區,2017-09-30T09:32:40Z,25.041778,121.508693,中華路一段/寶慶路(東南側),0,0
83,捷運大安森林公園站,74,29,大安區,2017-10-09T03:19:30Z,25.033156,121.535161,信義路三段31巷/信義路三段(南側),43,1
84,復華花園新城,38,6,萬華區,2017-10-09T03:19:34Z,25.029705,121.502899,西藏路115號/西藏路(東南側),32,1
85,信義敦化路口,46,19,大安區,2017-10-09T03:19:39Z,25.033362,121.54911,信義路四段/敦化南路一段(東北側),27,1
86,民權復興路口,46,20,松山區,2017-10-09T03:19:43Z,25.062344,121.545138,復興北路/民權東路三段(東北側),26,1
87,捷運大安站,58,28,大安區,2017-10-09T03:19:15Z,25.033078,121.543057,復興南路/信義路三段(西南側),30,1
88,捷運象山站,62,33,信義區,2017-10-09T03:19:27Z,25.032835,121.571274,信義路五段/信義路五段91巷(西北側),29,1
89,和平重慶路口,44,10,中正區,2017-10-09T03:19:42Z,25.027323,121.516385,重慶南路三段/和平西路一段(東北側),34,1
90,老松國小,44,7,萬華區,2017-10-09T03:19:34Z,25.037783,121.501708,康定路/桂林路(東南側),37,1
91,市立美術館,36,24,中山區,2017-10-09T03:19:41Z,25.070629,121.523268,中山北路三段/酒泉街(西南側),12,1
92,開封西寧路口,42,1,萬華區,2017-10-09T03:19:28Z,25.046618,121.507169,開封街二段/西寧南路(東北側),41,1
93,吳興公車總站,56,34,信義區,2017-10-09T03:19:40Z,25.023877,121.569836,松仁路/吳興街交叉口,21,1
94,捷運景美站,52,4,文山區,2017-10-09T03:19:31Z,24.993254,121.541059,羅斯福路六段/景中街交叉口(東北側),45,1
95,東園國小,32,5,萬華區,2017-10-09T03:19:36Z,25.023393,121.497679,東園街/萬大路344巷(東南側),27,1
96,三民公園,30,16,松山區,2017-10-09T03:19:24Z,25.061567,121.566558,撫遠街/富錦街(東南側),14,1
97,捷運劍潭站(2號出口),52,18,士林區,2017-10-09T03:19:36Z,25.082825,121.524721,基河路18號對面,33,1
98,羅斯福景隆街口,42,19,文山區,2017-10-09T03:19:29Z,24.999378,121.540197,羅斯福路六段/景隆街交叉口(東南側),23,1
99,捷運雙連站(2號出口),42,19,大同區,2017-10-09T03:19:44Z,25.057866,121.520711,民生西路/萬全街(東北側),23,1
100,金山市民路口,40,17,中正區,2017-10-09T03:19:21Z,25.045753,121.530697,金山北路/市民大道三段(南側),23,1
101,華山文創園區,50,15,中正區,2017-10-09T03:19:35Z,25.043668,121.528487,忠孝東路二段41號前,35,1
102,臺北市客家文化主題公園,32,14,中正區,2017-10-09T03:19:37Z,25.02043,121.525322,師大路/汀州路交叉口,18,1
103,萬大興寧街口,52,38,萬華區,2017-10-09T03:19:30Z,25.031974,121.500474,萬大路/興寧街(西南側),14,1
104,台北花木批發市場,38,14,文山區,2017-10-09T03:19:37Z,25.004023,121.54074,萬盛街/興隆路一段(西北側),23,1
105,峨嵋停車場,42,13,萬華區,2017-10-09T03:19:34Z,25.044412,121.505409,昆明街/西寧南路50巷(東南側),27,1
106,西園艋舺路口,44,20,萬華區,2017-10-09T03:19:27Z,25.032932,121.497674,西園路二段/艋舺大道(西南側),24,1
107,捷運小南門站(1號出口),54,37,中正區,2017-10-09T03:19:37Z,25.036402,121.509422,博愛路/愛國西路交叉口(西北側),17,1
108,臺北孔廟,32,27,大同區,2017-10-09T03:19:27Z,25.073306,121.515843,哈密街59巷/哈密街(東北側),4,1
109,林安泰古厝,36,9,中山區,2017-10-09T03:19:42Z,25.071606,121.530805,吉林路/民族東路(北側),26,1
110,文湖國小,44,15,內湖區,2017-10-09T03:19:37Z,25.086376,121.560888,文湖街21巷/文湖街(東北側),29,1
111,捷運忠孝復興站(2號出口),54,12,大安區,2017-10-09T03:19:41Z,25.040184,121.543497,復興南路一段/仁愛路三段123巷13弄(西北側),41,1
112,捷運新北投站,48,32,北投區,2017-10-09T03:19:29Z,25.137456,121.503124,大業路/中和街交叉口,16,1
113,仁愛逸仙路口,38,21,信義區,2017-10-09T03:19:27Z,25.037724,121.561178,仁愛路四段/逸仙路(西北側),17,1
114,蘭雅公園,30,14,士林區,2017-10-09T03:19:37Z,25.109908,121.530386,忠誠路二段/忠誠路二段40巷(西南側),16,1
115,臺北轉運站,68,45,中正區,2017-10-09T03:19:31Z,25.048222,121.520526,中山北路一段/市民大道一段(西北側),23,1
116,福林公園,44,18,士林區,2017-10-09T03:19:42Z,25.096122,121.530215,志成街/中正路(南側),25,1
117,捷運北投站,58,50,北投區,2017-10-09T03:19:41Z,25.132581,121.498618,光明路2巷/光明路交叉口,8,1
118,大業大同街口,36,11,北投區,2017-10-09T03:19:16Z,25.136929,121.499152,大業路/大同街口,25,1
119,捷運劍南路站(2號出口),56,24,中山區,2017-10-09T03:19:19Z,25.08418,121.555116,敬業二路/植福路(東北側),32,1
120,捷運龍山寺站(1號出口),46,7,萬華區,2017-10-09T03:19:15Z,25.035479,121.50026,和平西路三段/和平西路三段109巷(西北側),39,1
121,龍江南京路口,66,29,中山區,2017-10-09T03:19:40Z,25.05298,121.540568,龍江路110號對面停車場,36,1
122,捷運港墘站(2號出口),50,32,內湖區,2017-10-09T03:19:30Z,25.079681,121.575458,內湖路一段/港墘路(東南側),17,1
123,天母運動公園,44,15,士林區,2017-10-09T03:19:22Z,25.116325,121.534136,忠誠路二段/忠誠路二段207巷(東南側),29,1
124,振華公園,36,15,北投區,2017-10-09T03:19:32Z,25.115863,121.518163,振華街36號對面,19,1
125,華西公園,30,15,萬華區,2017-10-09T03:19:40Z,25.038609,121.498495,華西街/桂林路(東北側),15,1
126,敦化基隆路口,30,7,大安區,2017-10-09T03:19:21Z,25.022073,121.548336,敦化南路二段/基隆路二段交叉口,23,1
127,東湖國中,40,18,內湖區,2017-10-09T03:19:31Z,25.073277,121.619521,康樂街/康樂街125巷(東南側),21,1
128,成功國宅,36,15,大安區,2017-10-09T03:19:13Z,25.026808,121.546726,四維路198巷/和平東路三段1巷,19,1
129,捷運文德站(2號出口),50,27,內湖區,2017-10-09T03:19:38Z,25.078292,121.585264,文德路220巷/文德路(西南側),23,1
130,羅斯福寧波東街口,26,15,中正區,2017-10-09T03:19:28Z,25.031445,121.519411,羅斯福路一段/寧波東街(東南側),11,1
131,洲子二號公園,34,18,內湖區,2017-10-09T03:19:34Z,25.079322,121.568688,瑞光路500號對面,15,1
132,羅斯福新生南路口,88,12,大安區,2017-10-09T03:19:32Z,25.01603085,121.5331757,羅斯福路四段/新生南路三段交叉口,76,1
133,蘭興公園,40,15,士林區,2017-10-09T03:19:23Z,25.111839,121.525888,中山北路六段/士東路(西北側),24,1
134,捷運芝山站(2號出口),64,29,士林區,2017-10-09T03:19:37Z,25.10336,121.522629,福華路/福華路162巷(東南側),35,1
135,捷運石牌站(2號出口),54,6,北投區,2017-10-09T03:19:30Z,25.114513,121.515677,東華街一段/裕民二路(西側),46,1
136,國立臺北護理健康大學,30,16,北投區,2017-10-09T03:19:19Z,25.118049,121.517512,石牌路二段130巷/石牌路二段(東南側),14,1
137,國防大學,46,24,北投區,2017-10-09T03:19:38Z,25.137976,121.493066,中央北路二段/豐年路二段交叉口,22,1
138,捷運永春站(2號出口),30,17,信義區,2017-10-09T03:19:15Z,25.040558,121.575372,忠孝東路五段420號旁(東側巷道上),13,1
139,永樂市場,30,0,大同區,2017-09-30T09:37:44Z,25.054501,121.510549,民樂街/南京西路233巷(西北側),0,0
140,捷運大橋頭站(2號出口),46,22,大同區,2017-10-09T03:19:14Z,25.063404,121.512909,民權西路/重慶北路三段(東北側),22,1
141,文山行政中心,36,10,文山區,2017-10-09T03:19:32Z,24.989902,121.569984,木柵路三段220號前,25,1
142,捷運木柵站,52,35,文山區,2017-10-09T03:19:24Z,24.997747,121.574214,木柵路四段82巷18號前(捷運橋樑下),17,1
143,捷運動物園站(2號出口),72,38,文山區,2017-10-09T03:19:19Z,24.997659,121.578752,新光路二段28號前,34,1
144,國立政治大學,70,27,文山區,2017-10-09T03:19:31Z,24.988363,121.576536,萬壽路16巷6號前,43,1
145,樹德公園,40,23,大同區,2017-10-09T03:19:27Z,25.066688,121.516149,大龍街/大龍街85巷(東北側),17,1
146,捷運士林站(2號出口),46,13,士林區,2017-10-09T03:19:32Z,25.092546,121.526556,中正路247巷/中山北路五段505巷(東南側),33,1
147,士林運動中心,32,5,士林區,2017-10-09T03:19:33Z,25.089175,121.521814,承德路四段/大南路(東北側),27,1
148,捷運明德站,68,12,北投區,2017-10-09T03:19:17Z,25.110331,121.518316,致遠一路一段46巷/西安街一段(東南側),56,1
149,北投運動中心,62,24,北投區,2017-10-09T03:19:19Z,25.116665,121.509621,石牌路一段39巷100號前,37,1
150,松德公園,38,8,信義區,2017-10-09T03:19:28Z,25.036568,121.57343,松德路168巷20號前,30,1
151,考試院,34,14,文山區,2017-10-09T03:19:27Z,24.987507,121.549827,試院路(雙號)/木柵路一段(東北側),20,1
152,百齡國小,40,23,士林區,2017-10-09T03:19:42Z,25.08521,121.519175,前港街100巷/前港街(北方),16,1
153,蔣渭水紀念公園,36,22,大同區,2017-10-09T03:19:36Z,25.059885,121.516299,錦西街51號對面,12,1
154,中正基河路口,38,23,士林區,2017-10-09T03:19:27Z,25.093396,121.519867,中正路420號前,14,1
155,瑞光港墘路口,30,11,內湖區,2017-10-09T03:19:22Z,25.076193,121.57505,瑞光路/港墘路(西南側),17,1
156,東湖國小,38,22,內湖區,2017-10-09T03:19:27Z,25.068409,121.615938,東湖路/東湖路119巷(西北側),15,1
157,麗山國小,42,29,內湖區,2017-10-09T03:19:21Z,25.082703,121.571467,內湖路一段411巷/內湖路一段411巷19弄(東北側),13,1
158,捷運東湖站,48,35,內湖區,2017-10-09T03:19:23Z,25.066635,121.613505,安康路315巷/五分街14巷(西側),13,1
159,捷運西湖站(1號出口),36,13,內湖區,2017-10-09T03:19:27Z,25.082866,121.566695,環山路一段9巷/內湖路一段285巷(西南側),23,1
160,捷運中山站(4號出口),30,1,大同區,2017-10-09T03:19:27Z,25.053082,121.52029,南京西路/南京西路25巷(東北側),27,1
161,大豐公園,56,22,北投區,2017-10-09T03:19:18Z,25.131143,121.503768,磺港路/大興街(東北側),34,1
162,捷運中山國小站(4號出口),70,45,中山區,2017-10-09T03:19:33Z,25.062924,121.52772,民權東路一段/新生北路三段(北側)(新生高架橋下),24,1
163,捷運麟光站2號出口,72,33,大安區,2017-10-09T03:19:30Z,25.018097,121.559279,和平東路三段/和平東路三段416巷(捷運高架橋下),38,1
164,捷運奇岩站,56,18,北投區,2017-10-09T03:19:24Z,25.126286,121.500801,北投路一段/三合街二段(東北側),38,1
165,捷運唭哩岸站(2號出口),62,16,北投區,2017-10-09T03:19:22Z,25.120788,121.505693,西安街二段/立農街一段257巷,46,1
166,臺北市立景美女中,34,21,文山區,2017-10-09T03:19:16Z,24.980602,121.556177,木新路三段/一壽街(西北側),12,1
167,臺北市立天文館,50,33,士林區,2017-10-09T03:19:24Z,25.095714,121.518046,基河路363號前,16,1
168,河堤國小,44,22,中正區,2017-10-09T03:19:35Z,25.02288,121.522855,金門街12巷23弄1號旁,22,1
169,植物園,44,27,中正區,2017-10-09T03:19:28Z,25.030015,121.509813,和平西路二段100號前,16,1
170,新東公園,50,26,松山區,2017-10-09T03:19:37Z,25.059245,121.568883,民生東路五段/塔悠路(西南側),24,1
171,文山運動中心,38,4,文山區,2017-10-09T03:19:25Z,24.996842,121.559651,興隆路三段/興隆路三段192巷8弄,34,1
172,捷運南京三民站(1號出口),24,14,松山區,2017-10-09T03:19:22Z,25.051562,121.562891,南京東路五段/三民路(西北側),10,1
173,捷運松江南京站(7號出口),56,42,中山區,2017-10-09T03:19:24Z,25.052181,121.533211,松江路/南京東路二段(東北側),14,1
174,捷運小巨蛋站(5號出口),52,24,松山區,2017-10-09T03:19:34Z,25.051702,121.553057,南京東路四段/健康路(東北側),28,1
175,捷運南京復興站(5號出口),52,25,松山區,2017-10-09T03:19:18Z,25.051618,121.544847,南京東路三段/南京東路三段256巷(東南側),26,1
176,興安華城,98,33,中山區,2017-10-09T03:19:15Z,25.055997,121.542318,興安街/遼寧街,65,1
177,葫蘆國小,40,14,士林區,2017-10-09T03:19:37Z,25.082538,121.507495,環河北路三段/葫蘆街(東北側),26,1
178,延平國宅,32,16,士林區,2017-10-09T03:19:39Z,25.078908,121.510306,延平北路五段一巷40號前,16,1
179,南港公園,52,24,南港區,2017-10-09T03:19:15Z,25.041278,121.590885,福德街383號對面(南港公園出口前),27,1
180,福華商場,40,19,內湖區,2017-10-09T03:19:19Z,25.06877,121.592654,民權東路六段/民權東路六段180巷(石潭平面停車場內),21,1
181,建國和平路口,52,20,大安區,2017-10-09T03:19:35Z,25.02585,121.537383,建國南路二段/和平東路二段(西北側),32,1
182,捷運古亭站(2號出口),50,31,中正區,2017-10-09T03:19:36Z,25.0253,121.523537,羅斯福路二段/羅斯福路二段174巷(捷運古亭站2號出口前),19,1
183,圓環站,38,0,大同區,2017-10-09T03:19:35Z,25.053884,121.514549,南京西路/重慶北路一段(東南側),0,0
184,劍潭社區,42,30,中山區,2017-10-09T03:19:15Z,25.084759,121.537892,通北街143號前,12,1
185,瑠公公園,30,12,大安區,2017-10-09T03:19:40Z,25.042342,121.54605,大安路一段/大安路一段75巷(西側),18,1
186,臺北市立大學,82,31,中正區,2017-10-09T03:19:20Z,25.035414,121.514218,愛國西路/公園路(西北側),48,1
187,仁愛延吉街口,34,15,大安區,2017-10-09T03:19:21Z,25.037465,121.555769,仁愛路四段/延吉街(東南側),19,1
188,社子國小,56,23,士林區,2017-10-09T03:19:43Z,25.090293,121.50189,延平北路六段/社中街(社子國小對面跨提便道橋下),33,1
189,金瑞公園(金龍路),38,4,內湖區,2017-10-09T03:19:22Z,25.087848,121.587821,金龍路213巷1弄7號前,34,1
190,捷運大直站(3號出口),40,16,中山區,2017-10-09T03:19:34Z,25.079278,121.546683,北安路458巷41弄/北安路536巷(捷運大直站3號出口前人行道),23,1
191,捷運大湖公園站(2號出口),58,32,內湖區,2017-10-09T03:19:14Z,25.083945,121.601854,成功路五段/大湖山莊街(大湖公園地下停車場旁),26,1
192,捷運葫洲站(1號出口),44,21,內湖區,2017-10-09T03:19:20Z,25.072485,121.607955,康寧路三段/成功路五段450巷21弄(西北側)(捷運葫洲站1號出口前自行車停放區),23,1
193,舊莊區民活動中心,36,17,南港區,2017-10-09T03:19:16Z,25.041277,121.61935,舊莊街一段91巷/舊莊街一段91巷12弄(舊莊區民活動中心前),19,1
194,市民林森路口,50,20,中山區,2017-10-09T03:19:42Z,25.047958,121.524388,市民大道二段/林森北路(東北側),30,1
195,信義杭州路口(中華電信總公司),50,23,中正區,2017-10-09T03:19:28Z,25.035851,121.523987,信義路一段/杭州南路一段(西北側),27,1
196,新湖國小,24,10,內湖區,2017-10-09T03:19:33Z,25.068744,121.589233,民權東路六段/成功路二段320巷31弄(東南側),14,1
201,東陽公園,44,18,南港區,2017-10-09T03:19:30Z,25.057164,121.597924,重陽路125巷26號至36-2號對面人行道,25,1
202,捷運關渡站,60,31,北投區,2017-10-09T03:19:30Z,25.124646,121.467336,大度路三段270巷/立功街55巷(西南側人行道),29,1
203,古亭國中,40,18,萬華區,2017-10-09T03:19:37Z,25.024487,121.51057,中華路二段465號對面人行道(古亭國中),18,1
204,臺北市立大學(天母校區),42,7,士林區,2017-10-09T03:19:20Z,25.113625,121.53742,士東路276號至280號對面人行道,35,1
205,木柵光輝路口,28,14,文山區,2017-10-09T03:19:39Z,24.988241,121.55561,木柵路一段290號西側人行道(木柵光輝路口),13,1
206,捷運辛亥站,32,24,文山區,2017-10-09T03:19:17Z,25.005386,121.55716,辛亥路四段114號旁人行道(捷運辛亥站),7,1
207,福安國中,30,17,士林區,2017-10-09T03:19:33Z,25.103242,121.487477,延平北路七段250號前人行道(福安國中),11,1
208,龍山國小,46,13,萬華區,2017-10-09T03:19:27Z,25.035555,121.495342,和平西路三段280號對面人行道(龍山國小),32,1
209,捷運復興崗站,42,18,北投區,2017-10-09T03:19:39Z,25.137837,121.486071,中央北路三段17-1號對面人行道 (中央北路三段53巷側),24,1
210,樂群二敬業四路口,60,20,中山區,2017-10-09T03:15:25Z,25.079766,121.558135,樂群二路180號前廣場,40,1
211,星雲金湖街口,40,16,內湖區,2017-10-09T03:19:27Z,25.080915,121.597339,星雲街210巷11號旁平面停車場,23,1
212,北安大直街口,50,28,中山區,2017-10-09T03:19:20Z,25.084223,121.549452,北安路676號前人行道,22,1
213,蘭雅國小,30,22,士林區,2017-10-09T03:19:40Z,25.107782,121.523107,磺溪街80號~82號對面人行道(蘭雅國小東側),8,1
214,基河一期國宅,54,25,內湖區,2017-10-09T03:19:16Z,25.055935,121.578645,南京東路六段131號至137號對面綠地,28,1
215,捷運北門站(3號出口),62,27,大同區,2017-10-09T03:19:21Z,25.04993,121.510367,鄭州路/塔城街(西南側)(捷運北門站3號出口),35,1
216,培英公園,50,26,中山區,2017-10-09T03:19:38Z,25.082553,121.544601,崇實路/大直街62巷(東南側),22,1
217,臺北花市,40,9,內湖區,2017-10-09T03:19:43Z,25.062645,121.574267,新湖三路28號前人行道,30,1
218,松山高中,42,36,信義區,2017-10-09T03:19:16Z,25.043299,121.564108,基隆路一段172巷15號對面人行道(松山高中),6,1
219,大理高中,38,26,萬華區,2017-10-09T03:19:40Z,25.031147,121.49074,環河南路二段300號對面人行道(大理高中),12,1
220,大稻埕公園,38,1,大同區,2017-10-09T03:19:25Z,25.059162,121.510512,安西街1巷15號對面人行道(大稻埕公園),37,1
221,泰和公園,40,9,信義區,2017-10-09T03:19:43Z,25.019296,121.57105,吳興街600巷67弄5號對面公園(泰和公園),31,1
222,撫順公園,30,18,中山區,2017-10-09T03:19:27Z,25.064108,121.522065,中山北路2段180號對面,12,1
223,清江國小,40,21,北投區,2017-10-09T03:19:15Z,25.1274,121.507267,三合街一段/公館路西南側人行道(清江國小),19,1
224,社正公園,40,9,士林區,2017-10-09T03:19:17Z,25.088243,121.510535,社中街43號對面停車場(社正公園),30,1
225,臥龍樂業街口,40,26,大安區,2017-10-09T03:19:19Z,25.0186,121.554839,臥龍街267號對面人行道(臥龍樂業街口),14,1
226,向陽南港路口,32,15,南港區,2017-10-09T03:19:36Z,25.054365,121.594228,向陽路49號旁人行道(向陽南港路口),17,1
227,麗山高中,40,23,內湖區,2017-10-09T03:19:17Z,25.084244,121.57668,環山路二段131號對面人行道(麗山高中),15,1
228,捷運萬芳社區站,32,17,文山區,2017-10-09T03:19:41Z,24.998956,121.567474,萬芳路60號西側廣場,13,1
229,市民太原路口,34,13,大同區,2017-10-09T03:19:27Z,25.049394,121.514611,鄭州路23號東側人行道(市民太原路口),21,1
230,湖光國宅,36,25,內湖區,2017-10-09T03:19:17Z,25.075366,121.580811,文德路22巷67號對面綠地,11,1
231,內政部營建署,40,26,松山區,2017-10-09T03:19:21Z,25.047805,121.545022,八德路二段342號東側人行道,14,1
232,中山天母路口,44,6,士林區,2017-10-09T03:19:22Z,25.118843,121.529738,天母西路3-55號前人行道,38,1
233,捷運忠義站,50,13,北投區,2017-10-09T03:19:40Z,25.131411,121.474155,中央北路四段262號對面人行道,37,1
234,永欣綠地,38,6,北投區,2017-10-09T03:19:15Z,25.124162,121.526071,行義路1號對面停車場,32,1
235,市民東興路口,30,20,松山區,2017-10-09T03:19:43Z,25.04846,121.565928,市民大道五段193號前方人行道,10,1
236,關渡自然公園,36,16,北投區,2017-10-09T03:19:15Z,25.119292,121.469138,關渡路68號對面人行道,19,1
237,文山第二行政中心,38,10,文山區,2017-10-09T03:19:57Z,25.001149,121.551418,興隆路二段130巷30號對面人行道,27,1
238,瑞湖陽光街口,32,12,內湖區,2017-10-09T03:19:32Z,25.073119,121.575965,瑞湖街101號對面人行道,19,1
239,新明路321巷口,48,20,內湖區,2017-10-09T03:19:16Z,25.056687,121.584098,新明路323號前人行道,28,1
240,南京建國路口,58,30,中山區,2017-10-09T03:19:19Z,25.052141,121.536802,南京東路二段/建國北路二段(北側),26,1
241,林口公園,38,13,信義區,2017-10-09T03:19:40Z,25.038943,121.579146,林口街72號對面公園(林口公園),24,1
242,關渡宮,40,26,北投區,2017-10-09T03:19:19Z,25.117472,121.463161,大度路三段301巷223-5號西北側停車場,14,1
