sno,sna,tot,sbi,sarea,mday,lat,lng,ar,bemp,act
291,捷運松山站(3號出口),50,38,松山區,2017-10-09T03:19:24Z,25.049616,121.577459,松山路/市民大道六段(西北側捷運3號出口),11,1
292,合心廣場,40,15,南港區,2017-10-09T03:19:37Z,25.046361,121.582848,玉成街80號(對面),24,1
293,自來水園區,40,10,中正區,2017-10-09T03:19:35Z,25.013284,121.530037,中正區思源街16號對面人行道,29,1
294,朱崙商場,36,17,中山區,2017-10-09T03:19:23Z,25.047617,121.540431,龍江路15號前方人行道,17,1
295,敦親公園,26,8,大安區,2017-10-09T03:19:18Z,25.023473,121.541083,和平東路二段96巷8之1號(前方),17,1
296,萬和二號公園,32,18,文山區,2017-10-09T03:19:42Z,25.001545,121.536446,萬隆街255號(對面),14,1
297,長沙公園,26,6,萬華區,2017-10-09T03:19:41Z,25.041702,121.499922,環河南路一段280號之1(東側),20,1
298,太原五原路口,32,18,大同區,2017-10-09T03:19:34Z,25.056458,121.516976,太原路 / 五原路口(東南側),13,1
299,萬華國中,32,13,萬華區,2017-10-09T03:19:16Z,25.029264,121.499358,西藏路 / 莒光路299巷口(東南側),16,1
300,信義基隆路口,28,18,信義區,2017-10-09T03:19:37Z,25.033209,121.558731,信義路四段401號(前方),9,1
301,林森長春路口,28,17,中山區,2017-10-09T03:19:42Z,25.055062,121.525383,林森北路/長春路口西北角人行道(林森長春路口),11,1
302,敦北公園,40,19,松山區,2017-10-09T03:19:29Z,25.060746,121.550711,敦化北路 / 富錦街口(東北側),20,1
303,安泰街83巷,28,10,內湖區,2017-10-09T03:19:23Z,25.076691,121.617085,安泰街83巷3號對面,16,1
304,金華公園,32,14,大安區,2017-10-09T03:19:31Z,25.029902,121.531235,金華街251號對面(金華公園),18,1
305,碧山公園,30,13,內湖區,2017-10-09T03:19:24Z,25.087413,121.592253,內湖路三段60巷8弄1號(東南側),16,1
306,捷運古亭站(6號出口),52,22,大安區,2017-10-09T03:19:36Z,25.027781,121.52198,羅斯福路二段 / 羅斯福路二段15巷口(西側),29,1
307,仁愛安和路口,30,15,大安區,2017-10-09T03:19:17Z,25.03757,121.552076,仁愛路四段 / 仁愛路四段222巷(東南側),13,1
308,西松高中,30,7,松山區,2017-10-09T03:19:34Z,25.055672,121.567127,健康路325巷 / 健康路325巷12弄口(東北側),23,1
309,三軍總醫院(松山分院),38,19,松山區,2017-10-09T03:19:34Z,25.05447,121.556098,光復北路 / 光復北路190巷口(東南側),19,1
310,國立臺北大學(臺北校區),32,9,中山區,2017-10-09T03:19:16Z,25.057923,121.542732,民生東路三段 / 復興北路280巷10弄口(西北側),23,1
311,捷運忠孝新生站(2號出口),30,13,中正區,2017-10-09T03:19:41Z,25.042392,121.532229,忠孝東路二段123號對面(捷運忠孝新生站2號出口),17,1
312,捷運信義安和站(1號出口),34,10,大安區,2017-10-09T03:19:36Z,25.033323,121.552787,信義路一段 / 安和路一段口(東北側),24,1
313,光華商場,64,12,中正區,2017-10-09T03:19:19Z,25.04515,121.532738,市民大道三段/新生北路一段路口西南側人行道(光華商場),51,1
314,敦化長春路口,34,14,松山區,2017-10-09T03:19:17Z,25.053614,121.54872,敦化北路 / 敦化北路120巷口(西南側),20,1
315,捷運萬隆站(1號出口),38,12,文山區,2017-10-09T03:19:34Z,25.001447,121.539037,羅斯福路五段 / 羅斯福路五段236巷口(南側),24,1
316,民有一號公園,34,11,松山區,2017-10-09T03:19:20Z,25.060911,121.54763,敦化北路244巷 / 民權東路三段160巷口(西南側),23,1
317,雙園國中,30,7,萬華區,2017-10-09T03:19:14Z,25.026823,121.491675,西園路二段320巷 / 興義街(西北側),23,1
318,捷運內湖站(1號出口),30,13,內湖區,2017-10-09T03:19:35Z,25.084135,121.59484,成功路四段/金龍路口(捷運內湖站1號出口),16,1
319,民族林森路口,38,14,中山區,2017-10-09T03:19:28Z,25.068507,121.525322,民族東路 / 林森北路口(西北側),24,1
320,捷運南京三民站(3號出口),28,13,松山區,2017-10-09T03:19:21Z,25.051287,121.564262,南京東路五段204號(前方),15,1
321,莒光大埔街口,32,14,中正區,2017-10-09T03:19:29Z,25.031334,121.505085,莒光路/大埔街口東北側(莒光大埔街口),18,1
322,永盛公園(民生東路一段23巷),30,10,中山區,2017-10-09T03:19:39Z,25.058835,121.52504,民生東路一段23巷 / 民生東路一段27巷口(北側),20,1
323,新興公園,26,13,中山區,2017-10-09T03:19:37Z,25.061568,121.524392,錦州街13巷 / 中山北路二段137巷口(東南側),12,1
324,市立圖書館葫蘆堵分館,24,8,士林區,2017-10-09T03:19:18Z,25.08221,121.5108,延平北路5段136巷4號對面,16,1
325,南京東路六段368巷,40,19,內湖區,2017-10-09T03:19:22Z,25.05827,121.58707,南京東路六段368巷30號對面人行道,21,1
326,基隆路一段101巷口,30,11,信義區,2017-10-09T03:19:24Z,25.04525,121.56709,基隆路一段 / 基隆路一段101巷口(東南側),19,1
327,重慶南海路口,24,18,中正區,2017-10-09T03:19:52Z,25.03158,121.51464,重慶南路二段45號前方(郵政博物館前),6,1
328,一江公園,36,25,中山區,2017-10-09T03:19:14Z,25.05316,121.53146,一江街 / 松江路132巷口(西北側),11,1
329,樂群二明水路口,34,16,中山區,2017-10-09T03:19:40Z,25.07983,121.55236,樂群二路 / 明水路口(東側),17,1
331,民族玉門街口,34,16,中山區,2017-10-09T03:19:27Z,25.06859,121.51974,民族西路 / 民族西路31巷口(東北側),18,1
332,捷運中山站(2號出口),34,13,中山區,2017-10-09T03:19:19Z,25.05225,121.52193,南京西路6號(前方),21,1
333,復盛公園,28,6,松山區,2017-10-09T03:19:30Z,25.047428,121.561182,八德路四段106巷6弄2號(東側),22,1
334,敦化南路二段103巷口,24,5,大安區,2017-10-09T03:19:25Z,25.028973,121.549024,敦化南路二段97-101號(西側),18,1
335,景文中學,32,12,文山區,2017-10-09T03:19:19Z,24.986301,121.567855,保儀路/木柵路三段102巷口(西南側),19,1
336,承德路三段8巷口,22,7,大同區,2017-10-09T03:19:31Z,25.06382,121.51815,承德路三段12號(前方),14,1
337,彩虹橋,30,13,內湖區,2017-10-09T03:19:20Z,25.05301,121.57592,潭美街27號西側(行善公園東南角),17,1
338,成德國中,32,11,南港區,2017-10-09T03:19:18Z,25.04573,121.58794,東新街108巷10之1號(西側),20,1
339,重慶國中,34,20,大同區,2017-10-09T03:19:27Z,25.07581,121.51816,敦煌路68號(北側),13,1
340,南京光復路口,22,3,松山區,2017-10-09T03:19:37Z,25.05143,121.55716,南京東路四段182號(北側),19,1
341,捷運芝山站(1號出口),38,10,士林區,2017-10-09T03:19:40Z,25.10094,121.52243,文林路 / 福華路口(東側),28,1
342,文林建民路口,30,22,北投區,2017-10-09T03:19:44Z,25.10779,121.51468,文林北路224-238號(東南側),8,1
343,忠孝東路六段185巷口,30,15,南港區,2017-10-09T03:19:49Z,25.04904,121.58755,忠孝東路六段187號(東南側),15,1
345,中正運動中心,28,25,中正區,2017-10-09T03:19:21Z,25.03806,121.51943,信義路一段1號(西側),3,1
346,陽明高中,36,10,士林區,2017-10-09T03:19:16Z,25.09157,121.51669,中正路510號(西南側),26,1
347,博愛寶慶路口,26,12,中正區,2017-10-09T03:19:33Z,25.04134,121.51135,博愛路 / 寶慶路口(西北側),14,1
348,民生立體停車場,24,10,松山區,2017-10-09T03:19:27Z,25.05794,121.55945,民生東路五段82號(東側),13,1
349,重慶酒泉街口,28,18,大同區,2017-10-09T03:19:27Z,25.07183,121.51364,重慶北路三段272號(東側),10,1
350,復興南路二段128巷口,36,24,大安區,2017-10-09T03:19:14Z,25.02904,121.54336,復興南路二段144-3號前方,12,1
351,中山青島路口,38,25,中正區,2017-10-09T03:19:20Z,25.04469,121.51954,中山南路 / 青島東路口東北側,13,1
352,民權迪化街口,36,21,大同區,2017-10-09T03:19:23Z,25.06318,121.50944,迪化街一段351號(東北側),15,1
353,紀州庵,30,16,中正區,2017-10-09T03:16:33Z,25.02088,121.52049,水源路 / 同安街口 (東側),14,1
354,建國濟南路口,28,10,大安區,2017-10-09T03:19:15Z,25.03995,121.53797,建國南路一段/濟南路三段口(東南側),18,1
355,福山公園,34,14,南港區,2017-10-09T03:19:24Z,25.04478,121.61759,研究院路二段61巷15號(東側),20,1
356,臺北市網球中心,32,14,內湖區,2017-10-09T03:19:40Z,25.0674,121.59749,民權東路六段/民權東路六段210巷口(西南側),18,1
357,松友公園,26,7,信義區,2017-10-09T03:19:14Z,25.03423,121.57636,信義路六段76巷2弄16號(南側),17,1
359,健安新城,34,12,松山區,2017-10-09T03:19:37Z,25.05601,121.56358,三民路41號(東側),22,1
360,民權建國路口,44,25,中山區,2017-10-09T03:19:16Z,25.06252,121.53754,民權東路三段/建國北路三段口(東北側),19,1
361,振興醫院,32,9,北投區,2017-10-09T03:19:22Z,25.1177,121.5222,振興街/明德路口(西北側),23,1
362,和平金山路口,30,11,大安區,2017-10-09T03:19:40Z,25.02672,121.52533,和平東路一段 / 金山南路二段口(西南側),19,1
363,復興南路一段340巷口,32,13,大安區,2017-10-09T03:19:37Z,25.03617,121.5435,復興南路一段322號(東南側),19,1
364,嘉興公園,38,13,大安區,2017-10-09T03:19:39Z,25.02109,121.55219,樂業街101巷 / 樂業街口(北側側),25,1
365,陽明大學,50,26,北投區,2017-10-09T03:19:22Z,25.11912,121.51223,東華街二段136號(南側),24,1
366,碧湖公園,42,17,內湖區,2017-10-09T03:19:42Z,25.07988,121.58287,內湖路二段/內湖路二段103巷口(東北側),25,1
367,豐年公園,30,15,北投區,2017-10-09T03:19:31Z,25.1353,121.49661,大業路539號(東側),15,1
369,世新大學,34,10,文山區,2017-10-09T03:19:15Z,24.98862,121.54361,木柵路一段17巷1號(西側),23,1
370,新和國小,28,8,萬華區,2017-10-09T03:19:24Z,25.02656,121.50242,中華路二段416巷/萬大路277巷37弄口(東側),19,1
371,南門國中,38,23,中正區,2017-10-09T03:19:43Z,25.03532,121.50834,廣州街8巷/廣州街口(東南側),15,1
372,重慶民族路口,26,15,大同區,2017-10-09T03:19:21Z,25.06825,121.51359,重慶北路三段154號(前方/東側),11,1
374,麗湖國小,34,18,內湖區,2017-10-09T03:19:32Z,25.073322,121.602225,金湖路363巷5號對側,16,1
375,銘傳大學,48,9,士林區,2017-10-09T03:19:28Z,25.087714,121.526766,中山北路五段250號(銘傳大學對側),35,1
376,民生建國路口,36,20,中山區,2017-10-09T03:19:18Z,25.057778,121.536915,民生東路三段 / 建國北路二段口,16,1
377,南港路二段178巷口,30,18,南港區,2017-10-09T03:19:30Z,25.053675,121.599693,南港路二段 / 南港路二段178巷口(北側),11,1
379,春光公園,38,31,信義區,2017-10-09T03:19:34Z,25.042619,121.58076199999999,忠孝東路五段721號(對側),7,1
381,民權東路六段15巷,30,16,內湖區,2017-10-09T03:19:21Z,25.06853,121.578125,民權東路六段15巷35號,14,1
382,聯合醫院和平院區,42,32,中正區,2017-10-09T03:19:39Z,25.03516,121.50639,中華路二段33號(南側),10,1
384,松基公園,30,22,松山區,2017-10-09T03:19:36Z,25.05491,121.5448,長春路339巷 / 復興北路189巷口,8,1
386,錦州吉林路口,30,16,中山區,2017-10-09T03:19:41Z,25.06029,121.52981,錦州街162號前方,14,1
389,福德國小,30,5,信義區,2017-10-09T03:19:14Z,25.038324,121.586245,福德街251巷2號(對面/東側),25,1
390,稻香重三路口,34,10,北投區,2017-10-09T03:19:36Z,25.139937,121.489594,稻香路 / 稻香路43巷口(西北側),24,1
391,景仁公園,30,13,文山區,2017-10-09T03:19:38Z,24.9966,121.540295,景仁街 / 羅斯福路六段142巷口(北側),17,1
392,南京東興路口,30,14,松山區,2017-10-09T03:19:31Z,25.051489,121.565347,南京東路五段 / 東興路口(北側),16,1
399,和平龍泉街口,34,10,大安區,2017-10-09T03:19:18Z,25.026404,121.52946,和平東路一段178號(前側),22,1
